Λήμμα,Επεξήγηση,Άρθρο
Ζούλα,Προβατίνα,sing.F
Ζούλο,Ώριμο φρούτο,sing.N
Ζούπα,Πηγμένο γάλα με ψωμί,sing.F
Ζυφταριά,Πιεστήριο χειροκίνητο για τις ελιές,sing.F
Ζωφό,Στιφό,sing.N
Ζωχιός,Αγριολάχανο,sing.M
Ζόρκος,Γυμνός,sing.M
Ζύφω,Στίβω,null
Ζύφω,Πιέζω,null
Ζώση,Η πάνινη ζώνη από την παραδοσιακή κερκυραϊκή στολή Των ανδρών,sing.F
Ζώφους,Φέρνει αέρα κατά διαστήματα,null
Ηλιοκαμπίδα,Φωτεινός χώρος.,sing.F
Ηλιόκριση,Πανσέληνος ή το γέμισμα του φεγγαριού.,sing.F
Ημέρωμα,Ξεχερσωμένο χωράφι.,sing.N
Θέατρο (Έγινα),Ρεζιλεύτηκα,null
Θέλημα,Εξυπηρέτηση,sing.N
Θέρμη,Πυρετός,sing.F
Θίναλο,Αμμουδερό παραθαλάσσιο μέρος.,sing.N
Θανασούλη,Παλιός χωριάτικος χορός.,null
Θανατήτας,Πολύ μεγάλη παγωνιά.,sing.M
Θανατίτας,Θανατικό,sing.M
Θαραπάηκα,Ευχαριστήθηκα,null
Θεατρίζομαι,Ρεζιλεύομαι,null
Θελέσπια,Μεγάλη,sing.F
Θερμούτσα,Αναμμένα κάρβουνα.,sing.F
Θερμός,Βραστό νερό.,sing.M
Θηκάρι,Γιλέκο Ανδρικό της παραδοσιακής κερκυραικής στολής.,sing.N
Θηλίκια,Κορδόνια,plur.N
Θηλυκώνω,Κουμπώνω,null
Θηλύκι,Κουμπότρυπα,sing.N
Θλιβερός,Δύστυχος,sing.M
Θράσιο,Άπαχο ζώο.,sing.N
Θράσιο,Ολοκληρωτικό – Τελειωτικό.,sing.N
Θράσιος,Εντελώς χαζός.,sing.M
Θράσιος,Τελείως άχρηστος.,sing.M
Θράσιος,Νηστικός.,sing.M
Θράσιος,"Άνοστος, Σαθρός, Σάπιος.",sing.M
Θρονιάζομαι,"Στρογγυλοκάθομαι, κάθομαι αναπαυτικά.",null
Θρονιάσου,Κάθισε (Προστ. και με εκνευρισμό).,null
Ιγγλεζίνες,Καμώματα,plur.M
Ιμαντινιέρω,Διατηρώ,null
Ιμιτάρω,Μιμούμαι,null
Ιμπάντο,Εγκατάλειψη,sing.N
Ιμπάρκο,Επιβίβαση,sing.N
Ιμπένιο,Εγγύηση,sing.N
Ιμπατσάρω,Ρισκάρω,null
Ιμπενιάρω,Δεσμέυομαι,null
Ιμπενιάρω,Εγγυώμαι,null
Ιμπετσίλες,Ανόητος,sing.M
Ιμπετσιλιτά,Τρέλα,sing.F
Ιμπετσιλιτά,Μωρία,sing.F
Ιμπετσιλιτά,Ανοησία,sing.F
Ιμπιάντο,Εξοπλισμός,sing.N
Ιμπιτζάρομαι,Αναμειγνύομαι,null
Ιμποστούρα,Κατηγορία,sing.F
Ιμποστούρα,Συκοφαντία,sing.F
Ιμποστόρος,Απατεώνας,sing.M
Ιμπουτάρω,Κατηγορώ,null
Ιμπουτάρω,Σπιλώνω,null
Ιμπουτατζιόν,Κατηγορία,sing.F
Ιμπρέζα,Αναλαμβάνω κάτι,null
Ιμπρέζα ,Διαφορά,sing.F
Ιναμοράδος,Ερωτευμένος,sing.M
Ιναπιλάμπελε,Ανέκκλητος,sing.M
Ινβεντάριο,Κτηματολόγιο,sing.N
Ινβεντάριο,Απογραφή,sing.N
Ινβεστίρω,Επενδύω,null
Ινβόζε,Επικαλούμαι,null
Ινγραβιάδος,Βεβαρημένος,sing.M
Ινκάντο,Δημοπρασία,sing.N
Ινκαντάρω,Εκθέτω σε δημοπρασία,null
Ινκασάδο,Σκάλισμα κορνίζας ξύλου η τοίχου,sing.N
Ινκουμέσιον,Πληρεξουσιότητα,sing.F
Ινκουϊζίτος,Κατηγορούμενος,sing.M
Ινκόμοδα,Ενοχλήσεις,plur.N
Ινκόντρο,Συνάντηση Εμπορική,sing.N
Ινμπάντο,Εγκαταλελειμμένο,sing.N
Ινμπότα,Στο λεπτό,null
Ινορδίνος,Σε ετοιμότητα,sing.M
Ινπένιο,Υποχρέωση,sing.N
Ινπούμπλικο,Φανερά,sing.N
Ινπούμπλικο,Δημόσια,sing.N
Ινπούντο,Ακριβώς,null
Ινσεράδα,Το αδιάβροχο πανωφόρι του ψαρά,sing.F
Ινστάνζα,Δικαστική προσφυγή,sing.F
Ινσόμα,Επιτέλους,
Ινσόμα,Συνολικά,
Ιντεμέλα,Μαξιλαροθήκη,sing.F
Ιντερέσο,Ενδιαφέρον,sing.N
Ιντερέσο,Μυστικό ή ενδιαφέρουσα πληροφορία,sing.N
Ιντερβενιέντε,Ιδιώτης που αναλάμβανε δικαστικές υποθέσεις με Την επίβλεψη δικηγόρου επι ενετοκρατίας,null
Ιντερεσάδος,Συμφεροντολόγος,sing.M
Ιντζεκουτζιόν,Εκτέλεση,null
Ιντιέρος,Ακέραιος,sing.M
Ιντιμάδος,Κοινοποιημένος,sing.M
Ιντιμάρω,Κοινοποιώ,null
Ιντιματζιόν,Κοινοποίηση,sing.F
Ιντονάδος,Τονισμένος μουσικά,sing.M
Ιντράδα,Περιφραγμένη ιδιοκτησία,sing.F
Ιντρομετέρω,Παρεμβάλω,null
Ιντρόιτο,Είσοδος σκεπαστή σπιτιού,sing.N
Ιντσίρκα,Περίπου,null
Ιντσεράδα,Αδιάβροχο ρούχο,sing.F
Ιντόρνου,Πέριξ,null
Ιντόρνου,Γύρω γύρω,null
Ινφεριάδα,Σιδεριά παραθύρου μπαλκονιού,sing.F
Ινφερμάρω,Ακυρώνω,null
Ινφλιντζάρω,Καταχωρίζω,null
Ιποτεκάδο,Υποθηκευμένο,sing.N
Ιποτεκάρω,Υποθηκεύω,null
Ισβέτζες,Στη θέση του,null
Ισεστέρω,Επιμένω,null
Ισοστάς,Αν ίσως,null
Ισπονέρω,Ενδιαφέρομαι,null
Ισπονέρω,Εντυπωσιάζομαι,null
Ιστάντζια,Προσαγωγή,sing.F
Ιστάντζια,Αγωγή,sing.F
Ιστρουμέντο,Ακυρώνω,sing.N
Ιτάρω,Βοηθώ,null
Κoστέκια,Σπευδισμα Αλόγου,null
Κάβα,Αποθήκη κρασιών,sing.F
Κάβα,Λατομείο,sing.F
Κάζα,Σπίτι,sing.F
Κάζεται,Μου φαίνεται,null
Κάζο,Συμβάν,sing.N
Κάζο,Περιστατικό,sing.N
Κάζο μπλάνκο,Μεγάλο γεγονός,sing.N
Κάης,Είναι σκοτάδι,null
Κάκοψα,Τα καρύδια που σπάνε δύσκολα,plur.N
Κάκοψο,Σκληρό,sing.N
Κάλε,Οδός,sing.N
Κάλιο,Καλύτερα,null
Κάλοψα,Τα καρύδια που σπάνε εύκολα,plur.N
Κάλτσα Μπράγα,Ανδρικό καλσόν αριστοκρατών,sing.F
Κάμαρα ντα ριτσέβερε,Προθάλαμος,sing.F
Κάμαρα ντα ριτσέβερε,Ευρύχωρο χολ,sing.F
Κάμαρα ντι τσίβιλε,Σαλόνι αρχοντικού σπιτιού,sing.F
Κάμαρα ντι τσιβίλ,Σαλόνι,sing.F
Κάμαρα ντι τσιβίλ,Αίθουσα υποδοχής,sing.F
Κάμαρη,Δημόσιο,sing.F
Κάμπιο,Συναλλαγή,sing.N
Κάμπο,Πλατεία ανάμεσα σε σπίτια,sing.N
Κάναλη,Υδρορροή σπιτιού,sing.F
Κάναλος,Χαράδρα,sing.M
Κάναλος,Πέρασμα,sing.M
Κάνεβα,Κελάρι κρασιών,sing.F
Κάνιασα,Δίψασα,null
Κάνταρος,Πήλινο σκεύος σε σχήμα λεκάνης,sing.M
Κάνταρος,Πήλινη λεκάνη για ζύμωμα,sing.M
Κάντιο,Πεντακάθαρο,sing.N
Κάντο,Τραγούδι,sing.N
Κάονας,Γλάρος,sing.M
Κάουζα,Δίκη,sing.F
Κάπο,Ειρωνικά για κάτι που νομίζαμε σπουδαίο,null
Κάπο ντε φιόρι,Κουνουπίδι,sing.N
Κάπο ντι όπερα,Αριστούργημα,sing.N
Κάπος,Αρχηγός,sing.M
Κάπος,«Κεφάλι»,sing.M
Κάργα,Γέμιση εμπροσθογεμούς όπλου,sing.F
Κάρικα,Αξίωμα,sing.F
Κάρικο,Φορτίο πλοίου,sing.N
Κάριο,Τροχαλία,sing.N
Κάρλακας,Βάτραχος,sing.M
Κάρο,Αυτοκίνητο,sing.N
Κάρτα,"Πλακέ βαρέλι, πολύ δύσκολο στην κατασκευή του, για να φορτώνουν το γάιδαρο ένα σε κάθε μεριά",sing.F
Κάρτα,Βαρέλι κρασιού,sing.F
Κάρτα Μονέδα,Χαρτονόμισμα,sing.F
Κάρτα Μπιάνκα,Λευκό ποινικό μητρώο,sing.F
Κάρτε λακουες,Το κομμάτι της Ευγενίου Βουλγάρεως πίσω από το Δημαρχείο της Κέρκυρας. Ονομάστηκε έτσι επειδή εκεί στεγαζόταν η φρουρά του υδραγωγείου,plur.M
Κάρτε λακουες,"Κατά μια δευτερη εκδοχή ονομάστηκε έτσι από το δρομάκι του νερού , το κανάλι όπως το έλεγαν οι Ενετοί",plur.M
Κάρτες,Ξύλινα δοχεία που τοποθετούσαν στο σαμάρι του γαϊδάρου για τη μεταφορά νερού,plur.M
Κάρτο,Υποδιαίρεση της λίτρας,sing.N
Κάρυ,Ξύλο καρυδιάς,sing.N
Κάσα,Ταμείο,sing.F
Κάσα,Φέρετρο,sing.F
Κάστηκε,Μου φάνηκε,null
Κάστηκε,Νόμισα ότι,null
Κάτσα,Καταδίωξη,sing.F
Κάτσα,Κυνήγι,sing.F
Κάτω μπαλί,Παιδικό παιχνίδι Του δρόμου που παίζονταν στα καντούνι με ολοστρόγγυλες πέτρες σαν μπάλες,sing.N
Κένρωμα,Μπόλιασμα δένδρου ή φυτου,sing.N
Κέντρωμα,Μπόλιασμα,sing.N
Κέντρωμα,Κεντρισμός δένδρων,sing.N
Κίκαρα,Φλιτζάνι,sing.F
Κίσιο,Απόκτημα,sing.N
Κίτολα,Κατσαρολάκι όπως το ελεγαν στη χώρα.,sing.F
Κίχλα,Τσίχλα - γκρίζο αποδημητικό πουλί στο μέγεθος του κοτσυφιού.,sing.F
Καβάλος,Τα παιγνιόχαρτα Βαλές και Φάντες,sing.M
Καβάλος,Μάλλον επειδή οι κάρτες αυτές έχουν καβαλάρηδες,sing.M
Καβέντζο,Καλό ταξίδι,sing.N
Καβέντζο,"Προφανώς όταν τα ταξίδια γινόταν με άλογα, η ευχή ήταν « Καλό Χαλινάρι».",sing.N
Καβέντζο,Δαντελένια λωρίδα,sing.N
Καβίλια,Ξυλόκαρφο,sing.F
Καβαλάρης,Το μεσαίο δοκάρι δίχυτης σκεπής,sing.M
Καβαλίκεμα,Η συνουσία και η επιβολή,sing.N
Καβαλίνα,"Κόπρανα αλόγου, γαιδάρου",sing.F
Καβαλίνες,Κόπρανα Γαιδάρου,plur.M
Καβαλιεράτο,Σταυρός από φοίνικα για την ημέρα των βαίων,sing.N
Καβαλκίνα,Αίθουσα χορού,sing.F
Καβαλουκάτα,Μεγαλόσωμη,sing.F
Καβαλουκάτα,Γεροδεμένη γυναίκα,sing.F
Καβαλούρης,Επιβαλλόμενος,sing.M
Καβαλούτσι,Η μεταφορά ενός άλλου στην πλάτη,sing.N
Καβαντζάρω,Προσπερνάω,null
Καβεντζάλε,Λωρίδα πανιού που έβαζαν στα μαξιλάρια για να μην λερώνονται,sing.F
Καβιάδο,Τρόπος πλεξίματος των μαλλιών ή η Κορυφή,sing.N
Καβούκα,Το φέσι,sing.F
Καβούκι,Καπέλο,sing.N
Καγιούρι,Είδος χτενίσματος των γυναικών του Όρους,sing.N
Καγκέλο,Γραφείο του Καντιτζιλιέρη,sing.N
Καγκελαρία,Γραφείο Διοίκησης,sing.F
Καγκελαρία,Κυβερνείο,sing.F
Καγκελαρία,Διοικητήριο,sing.F
Καδένα,Αλυσίδα,sing.F
Καδίνα,Αλυσίδα,sing.F
Καδινάτσο,Σιδερένιος σύρτης πόρτας,sing.N
Καδινάτσος,Σύρτης πόρτας,sing.M
Καδινέλα,Είδος ραψίματος αλλά και διακοσμητικό πηχάκι αλλυσιδωτό,sing.F
Καδινέλες,Κορδονάκια,plur.M
Καζάρμα,Στρατόπεδο,sing.F
Καζίνο,Πολιτική λέσχη Λομβαρδιανών,sing.N
Καθρέφτης,Το πίσω κάθετο μέρος της βάρκας,sing.M
Καιμένη,Πικραμένη,sing.F
Κακακίδα,Το αμύγδαλο που έπεσε πρόωρα και έχει μια ιδιαίτερη και ωραία γεύση,sing.F
Κακαράντζες,Ξερές ελιές,plur.M
Κακοέχη ,Δύσκολη κατάσταση,sing.N
Κακοντραμάδος,Κακοντυμένος,sing.M
Κακοπραγία,Κακή πράξη,sing.F
Κακορίζικος,Άτυχος,sing.M
Κακοτρύγης,Ποικιλία άσπρου σταφυλιού που έχει πολύ σκληρό κοτσάνι και βγάζει ένα πολύ καλό κρασί,sing.M
Καλάντισμα,Το ράντισμα του παπά τα Θεοφάνεια,sing.N
Καλάρι,Λεπτό σχοινί,sing.N
Καλάρω,Υποβιβάζω,null
Καλάρω,Μειώνω,null
Καλάρω,Ελαττώνω,null
Καλή,Γιαγιά,sing.F
Καλαβρέντζος,Πυκνή πάχνη που πέφτει το καλοκαίρι στις μεσοδυτικές παραλίες της Κέρκυρας και κρατάει από μία ώρα εως δύο μέρες,sing.M
Καλαβρέντζος,Μάλλον την ονομασία πήρε από την Καλαβρία από οπου έρχεται αυτός ο καιρός,sing.M
Καλαθούνια,Καλάθια,plur.N
Καλαμίθρι,Χόρτο για ζωοτροφή,sing.N
Καλαμίνας,Καλαμιώνας,sing.M
Καλαμοβράκι,Μπατζάκι,sing.N
Καλιβούτσι,Κουβαλάω κάποιον στην πλάτη,null
Καλικούνι,Κατσαρόλα με στενό λαιμό και χονδρό σώμα,sing.N
Καλικούνι,Ξύλινο πώμα βαρελιού,sing.N
Καλλισκόπειον,Βεράντα με θέα (σε παλιά συμβόλαια μετά την Ένωση),sing.N
Καλογρίτσα,Μικρό δηλητηριώδες ψάρι της λίμνης,sing.F
Καλομέλανο,Φάρμακο για φυματικούς,sing.N
Καλοπέζουλος,Ακριβοδίκαιος,sing.M
Καλοπέζουλος,Τίμιος,sing.M
Καλοπέζουλος,Αφελής,sing.M
Καλοπέσουλο,Και με το παραπάνω,null
Καλοχαιρέτης,Ευγενικός,sing.M
Καλυμάρα,Μεταφορικά η νύστα,sing.F
Καλόμερη,Καλομοίρα,sing.F
Καμάρα,Αψίδα,sing.F
Καμάρα,Δωμάτιο,sing.F
Καμαλιμάγκου,Επιτέλους,null
Καμαλιμάγκου,Εν Κατακλείδι,null
Καματερό,Στρώμα μαρμάρου,sing.N
Καμιζέτο,Πουκάμισο,sing.N
Καμιζιόλα,Κοντό γυναικείο σακάκι κεντημένο της παραδοσιακής στολής,sing.F
Καμικόντο,Κάπως έτσι,null
Καμινέτο,Σωληνάκι κάτω από την κάνη του εμπροσθογεμούς όπλου όπου ετοποθετήτο το καψούλι,sing.N
Καμουλίκα,Κουκούλα,sing.F
Καμούσι,Κατακάθι του κρασιού,sing.N
Καμούφο,Τελείωμα σε δαντελένιο ύφασμα,sing.N
Καμπάνια,Εκστρατεία,sing.F
Καμπάτικο,Μεγάλο και ασύμμετρο,sing.N
Καμπίαλα,Συναλλαγματική,sing.F
Καμπίελο,Ανοιχτός χώρος ανάμεσα σε σπίτια,sing.N
Καμπίονι,Πρότυπο ήθους,sing.N
Καμπανέλα,Λουλούδι που μοιάζει με καμπάνα,sing.F
Καμπούλα,Καταχνιά,sing.F
Καμπούλα,Καπνός,sing.F
Καμπούλα,Ομίχλη,sing.F
Καμπρί,Είδος υφάσματος,sing.N
Κανίσκι,Δώρο,sing.N
Κανίστρα,Καλάθι,sing.F
Καναβάτσα,Πετσέτα,sing.F
Καναβέτα,Ξύλινο κιβώτιο,sing.F
Καναβέτα,Κασέλα,sing.F
Καναβετοπούλα,Μικρό ξύλινο κιβώτιο,sing.F
Καναλέτο,Οχετός,sing.N
Καναλέτο,Αυλάκι,sing.N
Καναλέτο,Υπόνομος,sing.N
Καναλέτο,Αποχετευτικός αγωγός,sing.N
Κανενέ,Επιτέλους,null
Κανιάρω,Σέρνω,null
Κανιάρω,Μουσικός όρος που σημαίνει : Σέρνω τη φωνή μου μέχρι την επόμενη νότα,null
Κανιζέλα,Στενός διάδρομος στην πίσω μεριά των σπιτιών,sing.F
Κανκάγια,Ρυτιδωμένη γριά,sing.F
Κανκιόφολα,Ηλιανθός,sing.F
Κανοκιάλε,Τηλεσκόπιο,sing.N
Κανούλι,Σωλήνας η μπαντζάκι παντελονιού,sing.N
Κανσονέτα,Σύντομο λαικό τραγούδι,sing.F
Καντάρι,Μονάδα μέτρησης όγκου,sing.N
Καντάρι,Είδος ζυγαριάς,sing.N
Καντάρω,Μετράω,null
Καντάρω,Υπολογίζω,null
Καντάρω,Τραγουδώ,null
Καντί,Χορδή μουσικού οργάνου,sing.N
Κανταδόρος,Ταμίας,sing.M
Κανταδόρος,Τραγουδιστής,sing.M
Κανταρέλα,Δοχείο μεταφοράς υλικών χωρητικότητας ενός κανταριού,sing.F
Κανταρέλα,1 Καντάρι = 150Λίβρες,sing.F
Κανταρέλι,Δοχείο μεταφοράς υλικών χωρητικότητας ενός κανταριού,sing.N
Κανταρέλι,1 Καντάρι = 150Λίβρες,sing.N
Κανταρέλι,Μικρό καζάνι,sing.N
Κανταρέλι,Μικρό καντάρι,sing.N
Κανταριώλι,Μέτρο υπολογισμού των δημητριακών,sing.N
Καντηλέτο,Κερί φωτισμού,sing.N
Καντιλοσβύστης,Είδος πεταλούδας που σβήνει το φως του καντηλιού,sing.M
Καντινέλα,Σανίδα που συγκρατούσε τα παραθυρόφυλλα ανοικτά,sing.F
Καντινέλα,Σιδερόβεργα που κρατούσε ανοικτά τα παραθυρόφυλλα,sing.F
Καντινέλα,Μικρή μουσική κομπανία,sing.F
Καντιτζιλιέρης,Γραμματέας Διοικητηρίου,sing.M
Καντονιέρα,Συρταρίερα,sing.F
Καντονιέρα,Ντουλάπα υπνοδωματίου,sing.F
Καντουλάπι,Ντουλάπι,sing.N
Καντουνάλι,Γωνιακή ντουλάπα σπιτιού,sing.N
Καντουναριά,Ανήθικη γυναίκα του πεζοδρομίου - του καντουνιού,sing.F
Καντουνιέρα,Πόρνη,sing.F
Καντουνιέρης,Αλήτης,sing.M
Καντούνι,Στενό δρομάκι,sing.N
Καντσιλιέρης,Γραμματέας,sing.M
Καντσονέτα,Τραγούδι,sing.F
Καντσόνα,Ενορχηστρωμένο τραγούδι,sing.F
Καουτέλα,Έγγραφο για εξασφάλιση,sing.F
Καουτσιόν,Ασφάλεια,null
Καουτσιόν,Εγγύηση,null
Καούρικο,Καυτερό,sing.N
Καπάσα,Μεγάλο πήλινο πιθάρι,sing.F
Καπάσα,Κιούπι,sing.F
Καπάτσος,Επιτήδειος,sing.M
Καπέλο,Κυονόκρανο,sing.N
Καπέλο,Ανω άκρο καπνοδόχου,sing.N
Καπέτα,Χωρίστρα,sing.F
Καπίστρι,Μέρος του εξοπλισμού του γαιδάρου,sing.N
Καπίτολο,Κεφάλαιο,sing.N
Καπίτολο Προμπατόρι,Ατράνταχτες αποδείξεις,plur.N
Καπαντριόλης,Αυθάδης,sing.M
Καπαράρω,Προκαταβάλω,null
Καπατσάρω,Δαμάζω,null
Καπατσάρω,Επιβάλω,null
Καπατσάρω,Επιβάλλομαι,null
Καπατσετάρω,Συγκρατήσω,null
Καπατσιτά,Επιτηδειότητα,sing.F
Καπατσιτά,Επιβολή,sing.F
Καπατσόνα,Καταφερτζού,sing.F
Καπελάνοι,Ποπ κόρν,plur.M
Καπελωμένος,Εκνευρισμένος,sing.M
Καπιτάλι,Κεφάλαιο,sing.N
Καπιτάρισε,Έφτασε,null
Καπιτάρω,Συμβαίνω,null
Καπιτάρω,Τυχαίνω,null
Καπιτέλο,Κυονόκρανο,sing.N
Καπιταλιστής,Κεφαλαιούχος,sing.M
Καπιτσίνια,Γυναικεία παπούτσια περίτεχνα,plur.N
Καπολαβόρο,Κομψοτέχνημα,sing.N
Καπολαβόρο,Αριστούργημα,sing.N
Καπονάρα,Κοτέτσι,sing.F
Καπορονιόζος,Μικρό και «ευτελές» ψαράκι,sing.M
Καποσάντες,Είδος στρειδιού,sing.M
Καποσίδερο,Η άκρη του παλαιού φρουρίου,sing.N
Καπουλομαξίλαρα,Μαξιλαράκια που έβαζαν οι γυναίκες στους γοφούς για να τονίζουν τις καμπύλες τους,plur.N
Καπουράλος,Το αφεντικό,sing.M
Καπουράλος,Ο αυταρχικός,sing.M
Καπουριέλι,Παραθυράκι πάνω από την πόρτα η το παράθυρο,sing.N
Καπουρουνιόζος,Το ψάρι Καπόνι,sing.M
Καπρέλι,Ξύλινο δοκάρι σκεπής,sing.N
Καπρί,Τράγος,sing.N
Καπροδόντης,Άτομο με μεγάλους κυνόδοντες,sing.M
Καπότο,Επανωφόρι,sing.N
Καπότο,Χλαίνη,sing.N
Καράβολο,Σιδερένια σπείρα,sing.N
Καράμπακας,Μεγάλο σπίτι,sing.M
Καράτερ,Χειρόγραφο,null
Καρές,Ανδρικό χτένισμα,sing.M
Καρέτα,Καροτσάκι κήπου η οικοδομής,sing.F
Καρίκι,Χονδρό μπιζέλι με το φλοιό,sing.N
Καρίνα,Ράχη βουνού,sing.F
Καραούλι,Το κούνημα της βάρκας,sing.N
Καρατάρω,Υπολογίζω,null
Καρατάρω,Εξετάζω,null
Καρατέλο,Βαρέλι από δώδεκα ξέστες,sing.N
Καρατέλο,Μεγάλο βαρέλι,sing.N
Καρατιέρης,Καραγωγέας,sing.M
Καριδώνω,Θηλειάζω,null
Καρκάνα,Περίβλημα,sing.F
Καρκάνι,Η κόρα του ψωμιού,sing.N
Καρκαλάς,Μέρος με πολύ ήλιο,sing.M
Καρκαλέντζος,Είδος ακρίδας,sing.M
Καρκαλέτσι,Δυνατός βήχας,sing.N
Καρκατσελάτη,Ελαφροντυμένη,sing.F
Καρκουλάρω,Κερνάω,null
Καρκούλα,Κουκούλα,sing.F
Καρμπούρο,Ανθρακασβέστιο από το οποίο παράγεται η ασετιλίνη Αέριο για φωτισμό και αργότερα για συσκευές οξυγόνου ή συγκόλλησης,sing.N
Καροτσίνο,Μικρή κομψή άμαξα δύο θέσεων,sing.N
Καρπάζουσα,Καρκίνος,sing.F
Καρπέτα,Φουντωτό πολύπτυχο φουστάνι,sing.F
Καρπέτα,Μάλλινα Υφαντά,plur.N
Καρπετογέλεκο,Γιλέκο που συνοδεύει την Καρπέτα,sing.N
Καρποφόλι,Αγιόκλημα,sing.N
Καρτέλο,Μικρό βαρελάκι,sing.N
Καρταριόλι,"Μέτρο χωρητικότητας, τέταρτο του μουτζουριού",sing.N
Καρτεζί,Μονάδα ογκομέτρησης υγρών ίσο με 1/8 του γαλονιού,sing.N
Καρτεζί,Τέταρτο Καρτούτσου,sing.N
Καρτούτσο,Μονάδα ογκομέτρησης υγρών,sing.N
Καρφοβελόνα,Τσιλιμπουρδίζω,null
Κασάρι,Μεγάλο κυρτό μαχαίρι που χρησιμεύει κυρίως ως γεωργικό εργαλείο,sing.N
Κασέλα,Ξύλινο κασόνι για την αποθήκευση των ρούχων του σπιτιού,sing.F
Κασαδούρα,Το κάσωμα της πόρτας,sing.F
Κασαροτρουτσέτα,Μεσαίο δρεπάνι με κοντό χερούλι,sing.F
Κασαφόρτε,Χρηματοκιβώτιο,sing.F
Κασελέτα,Μικρό ξύλινο κιβώτιο,sing.F
Κασετί,Συρταράκι,sing.N
Κασετίνα,Μικρό ξύλινο κουτάκι που άνοιγε συρταρωτά και έβαζαν σε αυτό τα μολύβια τους τα παιδιά,sing.F
Κασιέρης,Ταμίας,sing.M
Κασούνι,Ξύλινο αμάξωμα,sing.N
Κασούνι,Καρότσα,sing.N
Καστέλο,Κάστρο,sing.N
Καστέλο,Πύργος,sing.N
Καστίγιο,Τιμωρία,null
Καστίγιο,Ταλαιπωρία,null
Καστελάδος,Αυτός που περιμένει μεταφ. σαν φρουρός,sing.M
Καστελάνος,Πυργοδεσπότης,sing.M
Καταής,Καταγής,null
Καταβολάδα,Κλαδί για φύτεμα,sing.F
Καταηλιός,Εκτεθειμένος στον ήλιο,null
Καταλαγιάζω,Ξεκουράζομαι,null
Καταράχτης,Καταπακτή,sing.M
Κατασάρκι,Το μέσα μέρος της σαμάρας,sing.N
Κατελώνει,Βρωμάει,null
Κατζέλο,Μία αρρώστια,sing.N
Κατζέλο,Πειθαρχείο,sing.N
Κατζότο,Ξύλινο αγροτικό καλύβι,sing.N
Κατινομένος,Βουβός,sing.M
Κατινομένος,Αμίλητος,sing.M
Κατοικιά,Πρόχειρη αγροτική κατοικία στο χωράφι,sing.F
Κατουρίστρες,Τα δημόσια ουρητήρια,plur.M
Κατρίνι,Μικρής αξίας παλαιό νόμισμα,sing.N
Κατροπάσι,Διάστημα ίσο με τέσσερα βήματα,sing.N
Κατσίβελο,Κατώτερο,sing.N
Κατσίβελο,Υποδεέστερο,sing.N
Κατσίδα,Δερματική ασθένεια του κεφαλιού,sing.F
Κατσαδόρος,Το ψάρι Άσπρος Κολιός,sing.M
Κατσαούνης,Αυτός που δεν αποκαλύπτει μυστικά,sing.M
Κατσαπρόκι,Σουβλί των τσαγκάρηδων,sing.N
Κατσαφαλιές,Πονηριές,plur.M
Κατσιά,Θέση,sing.F
Κατσιάζω,Μαραίνομαι,null
Κατσιβέλα,Κασιδιάρα,sing.F
Κατσουληνάρης,"Τσαλαπετεινός, εξ’ αιτίας του λοφίου",sing.M
Κατσουλοπετείναρος,Τσαλαπετεινός,sing.M
Κατσούλα,Κουκούλα ρούχου,sing.F
Κατσούλα,Κουκούλα,sing.F
Κατσούλι,Η κορυφή,sing.N
Κατσούπι,Ασκί από δέρμα κατσίκας,sing.N
Κατωθιό,Κάτωθεν,sing.N
Κατωλάβρι,Λίθινη στέρνα που κατάληγε το λάδι στο ελαιοτριβείο,sing.N
Κατωλίθι,Η κάτω πέτρα του παλιού ελαιοτριβείου,sing.N
Κατωλαύρι,Το μέρος που πέφτει το λάδι στο ελαιουργείο,sing.N
Κατωμερίτικος,Παραδοσιακός χορός,sing.M
Κατόι,Το ισόγειο του σπιτιού που χρησίμευε σαν αποθηκευτικός χώρος,sing.N
Κατώστρατα,Η κάτω μεριά του δρόμου,sing.F
Καυκαλίθρα,Αγριολάχανο,sing.F
Καψερή,Φουκαριάρα,sing.F
Καψερή,Δυστυχισμένη,sing.F
Καψώνω,Ζεσταίνομαι,null
Καύκαλο,Κρανίο,sing.N
Κειαοπίσω,Εκεί από πίσω,null
Κειαπαράνω,Εκεί παρα πάνω,null
Κειαπαρκάτω,Εκεί παρα κάτω,null
Κειαρπάνω,Εκεί πάνω,null
Κεντινάρι,Πλεξούδα 100 ξερών σκόρδων και μέτρο πλεξίματος,sing.F
Κεντρίνα,Άγρια μέλισσα,sing.F
Κεντρωμάδα,Μικρό κεντρωμένο ελαιόδενδρο,sing.F
Κεντρώνι,Είδος σκυλόψαρου με ένα περίεργο πτερύγιο στην πλάτη,sing.N
Κενώνω,Σερβίρω,null
Κεραμιδοτρεχάτος,Άστατος Άνθρωπος.,sing.M
Κεραντζάνα,Το κρύο του Μαίστρου που ακολουθεί την βροχή του νοτιά.,sing.F
Κεφαλάρια,Πονοκέφαλοι.,plur.N
Κηβούρι,Νεκροταφείο.,sing.N
Κιάμο,Παιχνίδι τράπουλας.,sing.N
Κιάρο,Καθαρό,sing.N
Κιαβέτα,Σιδερένιο εξάρτημα του κάρου,sing.F
Κιαλέτα,Ματογυάλια – Μικρά κιάλια θεάτρου,plur.N
